bonne;good;;basic, adjective
bon;good;;basic, adjective
mauvais;bad;;basic, adjective
mauvaise;bad;;basic, adjective
nouveau;new;;basic, adjective
nouvelle;new;;basic, adjective
vieille;old;;basic, adjective
vieux;old;;basic, adjective
jeune;young;;basic, adjective
grand;big;;basic, adjective
grande;big;;basic, adjective
petit;small;;basic, adjective
petite;small;;basic, adjective
beau;beautiful;;basic, adjective
belle;beautiful;;basic, adjective
pas cher;cheap;;basic, adjective
pas chère;cheap;;basic, adjective
sombre;dark;;basic, adjective
claire;bright;;basic, adjective
clair;bright;;basic, adjective
ensemble;together;;basic, adjective
séparé;separate;;basic, adjective
séparée;separate;;basic, adjective
important;important;;basic, adjective
importante;important;;basic, adjective
fatigué;tired;;basic, adjective
fatiguée;tired;;basic, adjective
